card_id,card1,card4,card6,issuer_country,customer_id
CARD-10001,13937,visa,debit,US,CUST-30001
CARD-10002,4084,visa,debit,US,CUST-30002
CARD-10003,8035,visa,debit,US,CUST-30003
CARD-10004,3289,visa,debit,US,CUST-30004
CARD-10005,2936,visa,debit,US,CUST-30005
CARD-10006,3027,visa,debit,US,CUST-30006
CARD-10007,8244,visa,debit,US,CUST-30007
CARD-10008,10489,visa,debit,US,CUST-30008
CARD-10009,11108,visa,debit,US,CUST-30009
CARD-10010,4376,visa,debit,US,CUST-30010
CARD-10011,13202,visa,debit,US,CUST-30011
CARD-10012,2953,visa,debit,US,CUST-30012
CARD-10013,15011,visa,debit,US,CUST-30013
CARD-10014,15849,visa,debit,US,CUST-30014
CARD-10015,6890,visa,debit,US,CUST-30015
CARD-10016,10838,visa,debit,US,CUST-30016
CARD-10017,15707,visa,debit,US,CUST-30017
CARD-10018,17775,visa,debit,US,CUST-30018
CARD-10019,5980,visa,debit,US,CUST-30019
CARD-10020,3543,visa,debit,US,CUST-30020
CARD-10021,11280,visa,debit,US,CUST-30021
CARD-10022,17275,visa,debit,US,CUST-30022
CARD-10023,4066,visa,debit,US,CUST-30023
CARD-10024,3129,visa,debit,US,CUST-30024
CARD-10025,15602,visa,debit,US,CUST-30025
CARD-10026,12370,visa,debit,US,CUST-30026
CARD-10027,6506,visa,debit,US,CUST-30027
CARD-10028,8150,visa,debit,US,CUST-30028
CARD-10029,9113,visa,debit,US,CUST-30029
CARD-10030,3640,visa,debit,US,CUST-30030
CARD-10031,10104,visa,debit,US,CUST-30031
CARD-10032,10123,visa,debit,US,CUST-30032
CARD-10033,13466,visa,debit,US,CUST-30033
CARD-10034,4248,mastercard,credit,US,CUST-30034
CARD-10035,6431,mastercard,credit,US,CUST-30035
CARD-10036,8268,mastercard,credit,US,CUST-30036
CARD-10037,17018,mastercard,credit,US,CUST-30037
CARD-10038,16009,mastercard,credit,US,CUST-30038
CARD-10039,16126,mastercard,credit,US,CUST-30039
CARD-10040,14622,mastercard,credit,US,CUST-30040
CARD-10041,2921,visa,debit,US,CUST-30041
CARD-10042,14803,visa,debit,US,CUST-30042
CARD-10043,12796,visa,debit,US,CUST-30043
CARD-10044,14799,visa,debit,US,CUST-30044
CARD-10045,4484,visa,debit,US,CUST-30045
CARD-10046,17674,amex,credit,US,CUST-30045
CARD-10047,14079,visa,debit,US,CUST-30046
CARD-10048,2829,visa,credit,US,CUST-30047
CARD-10049,11568,visa,credit,US,CUST-30048
CARD-10050,17972,visa,credit,US,CUST-30049
CARD-10051,5952,visa,credit,US,CUST-30050
CARD-10052,2055,visa,debit,US,CUST-30051
CARD-10053,15585,visa,debit,US,CUST-30052
CARD-10054,1390,visa,debit,US,CUST-30053
CARD-10055,9093,visa,credit,US,CUST-30054
CARD-10056,6385,visa,credit,US,CUST-30055
CARD-10057,4502,visa,credit,US,CUST-30056
CARD-10058,12670,visa,credit,US,CUST-30057
CARD-10059,13843,visa,credit,US,CUST-30058
CARD-10060,3503,visa,credit,US,CUST-30059
CARD-10061,10353,visa,credit,US,CUST-30060
CARD-10062,6665,visa,credit,US,CUST-30061
CARD-10063,15199,visa,credit,US,CUST-30062
CARD-10064,9310,visa,debit,US,CUST-30063
CARD-10065,6192,visa,debit,US,CUST-30064
CARD-10066,9359,mastercard,credit,US,CUST-30065
CARD-10067,1889,mastercard,credit,US,CUST-30066
CARD-10068,9477,mastercard,credit,US,CUST-30067
CARD-10069,15616,mastercard,credit,US,CUST-30068
CARD-10070,9293,mastercard,credit,US,CUST-30069
CARD-10071,1186,visa,debit,US,CUST-30070
CARD-10072,10861,visa,debit,US,CUST-30071
CARD-10073,13794,mastercard,credit,US,CUST-30072
CARD-10074,14990,visa,debit,US,CUST-30073
CARD-10075,13930,visa,debit,US,CUST-30074
CARD-10076,11881,visa,debit,US,CUST-30075
