customer_id,tenure_days,addr1,p_emaildomain,kyc_level,segment
CUST-30001,668,177,gmail.com,standard,retail
CUST-30002,153,520,gmail.com,standard,retail
CUST-30003,123,359,gmail.com,standard,retail
CUST-30004,893,314,gmail.com,standard,retail
CUST-30005,1133,317,gmail.com,standard,retail
CUST-30006,258,214,gmail.com,standard,retail
CUST-30007,817,125,gmail.com,standard,retail
CUST-30008,1763,168,gmail.com,standard,retail
CUST-30009,1112,160,gmail.com,standard,retail
CUST-30010,1401,192,gmail.com,standard,retail
CUST-30011,1313,196,gmail.com,standard,retail
CUST-30012,1463,132,gmail.com,standard,retail
CUST-30013,1021,448,gmail.com,standard,retail
CUST-30014,958,399,gmail.com,standard,retail
CUST-30015,513,506,gmail.com,standard,retail
CUST-30016,504,141,gmail.com,standard,retail
CUST-30017,1797,275,gmail.com,standard,retail
CUST-30018,154,160,gmail.com,standard,retail
CUST-30019,1555,275,gmail.com,standard,retail
CUST-30020,868,120,gmail.com,standard,retail
CUST-30021,1178,504,gmail.com,standard,retail
CUST-30022,722,404,gmail.com,standard,retail
CUST-30023,939,135,gmail.com,standard,retail
CUST-30024,975,456,gmail.com,standard,retail
CUST-30025,1441,258,gmail.com,standard,retail
CUST-30026,795,442,gmail.com,standard,retail
CUST-30027,950,281,gmail.com,standard,retail
CUST-30028,1016,130,gmail.com,standard,retail
CUST-30029,269,478,gmail.com,standard,retail
CUST-30030,1882,354,gmail.com,standard,retail
CUST-30031,827,381,gmail.com,standard,retail
CUST-30032,1682,320,gmail.com,standard,retail
CUST-30033,739,449,gmail.com,standard,retail
CUST-30034,35,442,protonmail.com,basic,retail
CUST-30035,12,339,protonmail.com,basic,retail
CUST-30036,35,166,protonmail.com,basic,retail
CUST-30037,31,447,protonmail.com,basic,retail
CUST-30038,31,216,protonmail.com,basic,retail
CUST-30039,39,173,protonmail.com,basic,retail
CUST-30040,5,463,protonmail.com,basic,retail
CUST-30041,400,507,gmail.com,standard,retail
CUST-30042,1200,366,gmail.com,standard,retail
CUST-30043,1500,354,gmail.com,standard,retail
CUST-30044,2100,204,gmail.com,standard,retail
CUST-30045,1900,204,gmail.com,standard,retail
CUST-30046,45,347,yahoo.com,standard,retail
CUST-30047,23,299,outlook.com,basic,retail
CUST-30048,18,299,outlook.com,basic,retail
CUST-30049,40,299,outlook.com,basic,retail
CUST-30050,20,299,outlook.com,basic,retail
CUST-30051,2400,538,gmail.com,standard,retail
CUST-30052,700,366,gmail.com,standard,retail
CUST-30053,1500,192,gmail.com,standard,small_business
CUST-30054,22,409,anonymous.com,basic,retail
CUST-30055,14,311,anonymous.com,basic,retail
CUST-30056,29,204,anonymous.com,basic,retail
CUST-30057,21,358,anonymous.com,basic,retail
CUST-30058,23,174,anonymous.com,basic,retail
CUST-30059,12,365,anonymous.com,basic,retail
CUST-30060,18,480,anonymous.com,basic,retail
CUST-30061,5,358,anonymous.com,basic,retail
CUST-30062,3,197,anonymous.com,basic,retail
CUST-30063,2,287,icloud.com,standard,retail
CUST-30064,800,273,gmail.com,standard,retail
CUST-30065,8,491,mail.ru,basic,retail
CUST-30066,3,390,mail.ru,basic,retail
CUST-30067,7,225,mail.ru,basic,retail
CUST-30068,2,410,mail.ru,basic,retail
CUST-30069,1,207,mail.ru,basic,retail
CUST-30070,1500,363,gmail.com,standard,retail
CUST-30071,1800,153,gmail.com,standard,retail
CUST-30072,4,286,protonmail.com,basic,retail
CUST-30073,300,346,gmail.com,standard,retail
CUST-30074,900,301,gmail.com,standard,retail
CUST-30075,3000,117,gmail.com,standard,retail
