ip_id,country,is_proxy,asn
IP-40001,US,false,AS7922
IP-40002,US,false,AS7922
IP-40003,US,false,AS7922
IP-40004,US,false,AS7922
IP-40005,US,false,AS7922
IP-40006,US,false,AS7922
IP-40007,US,false,AS7922
IP-40008,US,false,AS7922
IP-40009,US,false,AS7922
IP-40010,US,false,AS7922
IP-40011,US,false,AS7922
IP-40012,US,false,AS7922
IP-40013,US,false,AS7922
IP-40014,US,false,AS7922
IP-40015,US,false,AS7922
IP-40016,US,false,AS7922
IP-40017,US,false,AS7922
IP-40018,US,false,AS7922
IP-40019,US,false,AS7922
IP-40020,US,false,AS7922
IP-40021,US,false,AS7922
IP-40022,US,false,AS7922
IP-40023,US,false,AS7922
IP-40024,US,false,AS7922
IP-40025,US,false,AS7922
IP-40026,US,false,AS7922
IP-40027,US,false,AS7922
IP-40028,US,false,AS7922
IP-40029,US,false,AS7922
IP-40030,US,false,AS7922
IP-40031,US,false,AS7922
IP-40032,US,false,AS7922
IP-40033,US,false,AS7922
IP-40034,RO,true,AS9009
IP-40035,US,false,AS7922
IP-40036,US,true,AS14061
IP-40037,US,false,AS7922
IP-40038,NG,true,AS37148
IP-40039,US,false,AS7922
IP-40040,PT,false,AS3243
IP-40041,US,false,AS7922
IP-40042,US,false,AS7922
IP-40043,US,false,AS20115
IP-40044,US,false,AS7922
IP-40045,US,false,AS7922
IP-40046,US,false,AS7922
IP-40047,US,false,AS7922
IP-40048,VN,true,AS45899
IP-40049,US,false,AS7922
IP-40050,US,false,AS7922
IP-40051,BR,false,AS28573
IP-40052,US,true,AS16509
IP-40053,US,false,AS7922
IP-40054,US,false,AS21928
IP-40055,US,false,AS7922
IP-40056,US,true,AS13335
IP-40057,US,false,AS7922
IP-40058,US,false,AS7922
IP-40059,US,false,AS7018
IP-40060,US,false,AS7922
