txn_id,amount,ts,product_cd,is_fraud,chargeback,card_id,device_id,ip_id,customer_id
T3100001,1970.26,8913600,W,1,true,CARD-10001,DEV-20001,IP-40001,CUST-30001
T3100002,1128.78,8827200,W,1,true,CARD-10002,DEV-20002,IP-40002,CUST-30002
T3100003,160.61,8740800,W,0,false,CARD-10003,DEV-20003,IP-40003,CUST-30003
T3100004,759.96,8654400,W,1,true,CARD-10004,DEV-20004,IP-40004,CUST-30004
T3100005,2489.21,8568000,W,1,true,CARD-10005,DEV-20005,IP-40005,CUST-30005
T3100006,1752.45,8481600,W,1,true,CARD-10006,DEV-20006,IP-40006,CUST-30006
T3100007,187.42,8395200,W,1,true,CARD-10007,DEV-20007,IP-40007,CUST-30007
T3100008,1286.46,8308800,W,1,true,CARD-10008,DEV-20008,IP-40008,CUST-30008
T3100009,1702.76,8222400,W,0,false,CARD-10009,DEV-20009,IP-40009,CUST-30009
T3100010,1765.72,8136000,W,1,true,CARD-10010,DEV-20010,IP-40010,CUST-30010
T3100011,337.42,8049600,W,1,true,CARD-10011,DEV-20011,IP-40011,CUST-30011
T3100012,1876.08,7963200,W,0,false,CARD-10012,DEV-20012,IP-40012,CUST-30012
T3100013,2342.82,7876800,W,0,false,CARD-10013,DEV-20013,IP-40013,CUST-30013
T3100014,1116.67,7790400,W,0,false,CARD-10014,DEV-20014,IP-40014,CUST-30014
T3100015,2112.03,7704000,W,1,true,CARD-10015,DEV-20015,IP-40015,CUST-30015
T3100016,1599.33,7617600,W,1,true,CARD-10016,DEV-20016,IP-40016,CUST-30016
T3100017,899.42,7531200,W,1,true,CARD-10017,DEV-20017,IP-40017,CUST-30017
T3100018,1283.46,7444800,W,1,true,CARD-10018,DEV-20018,IP-40018,CUST-30018
T3100019,2803.15,7358400,W,1,true,CARD-10019,DEV-20019,IP-40019,CUST-30019
T3100020,2305.48,7272000,W,1,true,CARD-10020,DEV-20020,IP-40020,CUST-30020
T3100021,1053.36,7185600,W,0,false,CARD-10021,DEV-20021,IP-40021,CUST-30021
T3100022,1760.69,7099200,W,1,true,CARD-10022,DEV-20022,IP-40022,CUST-30022
T3100023,2836.81,7012800,W,1,true,CARD-10023,DEV-20023,IP-40023,CUST-30023
T3100024,228.97,6926400,W,1,true,CARD-10024,DEV-20024,IP-40024,CUST-30024
T3100025,889.56,6840000,W,0,false,CARD-10025,DEV-20025,IP-40025,CUST-30025
T3100026,116.56,6753600,W,1,true,CARD-10026,DEV-20026,IP-40026,CUST-30026
T3100027,1852.21,6667200,W,0,false,CARD-10027,DEV-20027,IP-40027,CUST-30027
T3100028,2316.29,6580800,W,1,true,CARD-10028,DEV-20028,IP-40028,CUST-30028
T3100029,1223.8,6494400,W,0,false,CARD-10029,DEV-20029,IP-40029,CUST-30029
T3100030,540.78,6408000,W,0,false,CARD-10030,DEV-20030,IP-40030,CUST-30030
T3100031,2655.98,6321600,W,0,false,CARD-10031,DEV-20031,IP-40031,CUST-30031
T3100032,2133.87,6235200,W,0,false,CARD-10032,DEV-20032,IP-40032,CUST-30032
T3100033,2875.31,6148800,W,1,true,CARD-10033,DEV-20033,IP-40033,CUST-30033
T3100034,954.25,14740800,W,1,true,CARD-10034,DEV-20034,IP-40034,CUST-30034
T3100035,1081.22,14775360,W,1,true,CARD-10035,DEV-20034,IP-40034,CUST-30035
T3100036,1204.12,14809920,W,1,true,CARD-10036,DEV-20034,IP-40034,CUST-30036
T3100037,1482.5,14844480,W,-1,false,CARD-10037,DEV-20034,IP-40034,CUST-30037
T3100038,764.75,14879040,W,-1,false,CARD-10038,DEV-20034,IP-40034,CUST-30038
T3100039,1491.64,14913600,W,-1,false,CARD-10039,DEV-20034,IP-40034,CUST-30039
T3100040,1850.0,15000000,W,-1,false,CARD-10040,DEV-20034,IP-40034,CUST-30040
T3100041,60.67,15325523,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100042,50.06,14823846,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100043,77.96,14322168,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100044,53.49,13820491,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100045,53.64,13318813,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100046,66.18,12817136,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100047,56.61,12315459,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100048,40.97,11813781,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100049,63.88,11312104,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100050,34.14,10810426,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100051,69.7,10308749,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100052,89.28,9807071,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100053,95.96,9305394,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100054,67.01,8803717,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100055,59.65,8302039,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100056,42.52,7800362,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100057,53.93,7298684,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100058,40.25,6797007,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100059,90.32,6295330,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100060,47.36,5793652,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100061,57.88,5291975,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100062,39.48,4790297,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100063,71.49,4288620,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100064,75.54,3786942,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100065,86.09,3285265,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100066,79.21,2783588,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100067,57.35,2281910,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100068,53.66,1780233,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100069,71.8,1278555,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100070,49.17,776878,W,0,false,CARD-10041,DEV-20035,IP-40035,CUST-30041
T3100071,4.65,15999640,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100072,3.17,15999665,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100073,4.17,15999690,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100074,1.36,15999715,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100075,2.39,15999740,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100076,2.6,15999765,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100077,1.6,15999790,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100078,1.38,15999815,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100079,1.85,15999840,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100080,2.73,15999865,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100081,4.32,15999890,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100082,2.35,15999915,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100083,4.38,15999940,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100084,4.1,15999965,C,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100085,480.0,16000000,W,-1,false,CARD-10041,DEV-20036,IP-40036,CUST-30041
T3100086,94.55,16447883,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100087,78.0,16068566,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100088,83.1,15689249,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100089,95.91,15309932,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100090,76.86,14930615,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100091,80.3,14551298,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100092,110.38,14171981,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100093,84.34,13792664,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100094,88.56,13413347,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100095,156.12,13034030,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100096,89.89,12654713,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100097,86.27,12275396,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100098,74.5,11896079,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100099,81.12,11516761,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100100,69.07,11137444,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100101,75.84,10758127,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100102,85.74,10378810,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100103,47.91,9999493,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100104,79.87,9620176,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100105,78.0,9240859,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100106,109.64,8861542,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100107,54.12,8482225,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100108,113.66,8102908,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100109,73.24,7723591,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100110,74.29,7344274,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100111,57.35,6964957,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100112,82.48,6585640,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100113,77.2,6206322,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100114,76.74,5827005,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100115,89.01,5447688,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100116,101.72,5068371,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100117,92.73,4689054,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100118,104.51,4309737,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100119,34.5,3930420,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100120,78.46,3551103,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100121,80.39,3171786,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100122,59.02,2792469,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100123,85.73,2413152,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100124,89.29,2033835,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100125,72.35,1654518,W,0,false,CARD-10042,DEV-20037,IP-40037,CUST-30042
T3100126,2400.0,17000000,W,-1,false,CARD-10042,DEV-20038,IP-40038,CUST-30042
